                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1556,                  2.981,                 1.8875,                 1.4306,                0.48303,                0.19321,                0.23999,                0.09439,                0.93186,                    0.2,                 0.3284,                0.15307,                 1.7221,                 2.5562,                 2.6273,                 1.9244,             0.00065574,             0.00065574,             0.00065574
                      2,                0.99088,                 2.3412,                 1.3806,                 1.2897,                0.96028,                    0.6,                0.67833,                0.42362,                0.96028,                    0.6,                0.67833,                0.51922,                  1.238,                 2.1508,                 1.6702,                 1.4942,              0.0012569,              0.0012569,              0.0012569
                      3,                0.99518,                 2.3669,                   1.33,                 1.2885,                0.94647,                    0.6,                0.75192,                0.50063,                0.94647,                    0.6,                0.75192,                0.54902,                 1.0581,                 1.8925,                 1.5298,                  1.579,              0.0017922,              0.0017922,              0.0017922
                      4,                0.96889,                 2.2684,                 1.2579,                 1.2806,                      1,                0.79337,                0.90611,                0.53372,                      1,                0.79337,                0.90611,                0.62708,                 1.1445,                 2.4956,                 1.2725,                  1.828,               0.001703,               0.001703,               0.001703
                      5,                0.92412,                 2.1669,                 1.1931,                 1.2451,                0.95701,                      1,                  0.995,                0.67739,                0.95701,                      1,                  0.995,                0.54205,                0.77218,                 2.2221,                 1.3637,                 1.1847,               0.001703,               0.001703,               0.001703
                      6,                0.88903,                 2.1224,                 1.1668,                 1.2197,                0.76588,                      1,                0.92833,                0.84214,                0.76588,                      1,                0.92833,                0.70636,                0.60352,                 1.6818,                0.94696,                 1.0944,               0.001604,               0.001604,               0.001604
                      7,                0.88111,                  2.084,                 1.1664,                 1.2101,                0.81186,                      1,                0.96167,                0.74951,                0.81186,                      1,                0.96167,                 0.7995,                0.86859,                 1.3294,                0.85441,                 1.2025,               0.001505,               0.001505,               0.001505
                      8,                0.84483,                 2.0191,                 1.1267,                 1.1909,                      1,                0.78711,                  0.995,                0.67228,                      1,                0.78711,                  0.995,                 0.6923,                0.91122,                0.93571,                0.98712,                 1.3347,               0.001406,               0.001406,               0.001406
                      9,                0.84413,                 1.9291,                 1.1042,                  1.208,                      1,                0.92539,                  0.995,                0.79184,                      1,                0.92539,                  0.995,                0.80621,                0.77221,                 1.3634,                0.87391,                 1.2062,               0.001307,               0.001307,               0.001307
                     10,                0.79825,                 1.9003,                 1.0576,                 1.1537,                0.82332,                      1,                0.96167,                0.80405,                0.82332,                      1,                0.96167,                0.85013,                0.66485,                 1.1416,                0.89125,                 1.2227,               0.001208,               0.001208,               0.001208
                     11,                0.80449,                 2.0022,                 1.2398,                 1.2573,                0.97201,                      1,                  0.995,                0.78343,                0.97201,                      1,                  0.995,                0.83156,                0.70447,                 1.1942,                0.80362,                 1.1443,               0.001109,               0.001109,               0.001109
                     12,                0.75717,                 1.8493,                 1.1157,                  1.215,                      1,                 0.9751,                  0.995,                0.79588,                      1,                 0.9751,                  0.995,                0.86364,                 0.8611,                0.91224,                0.77749,                 1.1997,                0.00101,                0.00101,                0.00101
                     13,                0.72797,                 1.7782,                 1.0946,                 1.1955,                0.97938,                    0.8,                0.93786,                  0.746,                0.79905,                0.79619,                0.89786,                0.72494,                0.59161,                  1.583,                0.82304,                 1.0841,               0.000911,               0.000911,               0.000911
                     14,                0.68667,                 1.6659,                 1.0491,                 1.1763,                0.98206,                      1,                  0.995,                0.79791,                0.98206,                      1,                  0.995,                0.90874,                0.75483,                0.69379,                0.81821,                 1.1494,               0.000812,               0.000812,               0.000812
                     15,                  0.634,                 1.5847,                 1.0076,                 1.1279,                0.96716,                      1,                  0.995,                0.86496,                0.96716,                      1,                  0.995,                0.95026,                0.63706,                0.73131,                0.69674,                 1.0398,               0.000713,               0.000713,               0.000713
                     16,                0.62675,                 1.5145,                0.96296,                 1.1175,                0.81513,                0.89077,                0.96167,                0.89857,                0.81513,                0.89077,                0.96167,                0.89731,                0.53212,                0.78737,                 0.7738,                 1.0245,               0.000614,               0.000614,               0.000614
                     17,                0.61502,                 1.5145,                0.94631,                 1.1069,                      1,                0.92966,                  0.995,                 0.8245,                      1,                0.92966,                  0.995,                0.90484,                0.52178,                0.74756,                0.77755,                0.96509,               0.000515,               0.000515,               0.000515
                     18,                0.58543,                 1.4721,                0.93112,                 1.0918,                      1,                0.98031,                  0.995,                0.92532,                      1,                0.98031,                  0.995,                0.93199,                 0.4254,                0.69662,                0.69904,                0.96444,               0.000416,               0.000416,               0.000416
                     19,                 0.5753,                 1.4533,                0.91469,                  1.084,                0.95112,                      1,                  0.995,                0.83865,                0.95112,                      1,                  0.995,                0.92293,                 0.4523,                 0.6925,                0.67647,                0.97803,               0.000317,               0.000317,               0.000317
                     20,                0.54787,                 1.3885,                0.88299,                 1.0558,                      1,                0.96743,                  0.995,                0.82332,                      1,                0.96743,                  0.995,                0.91556,                 0.5639,                0.67641,                0.72817,                 1.0027,               0.000218,               0.000218,               0.000218
