                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1556,                  2.981,                 1.8875,                 1.4306,                0.48303,                0.19321,                0.23999,                0.09439,                0.93186,                    0.2,                 0.3284,                0.15307,                 1.7221,                 2.5562,                 2.6273,                 1.9244,             0.00065574,             0.00065574,             0.00065574
                      2,                 0.9974,                 2.3542,                 1.3829,                  1.293,                0.99754,                    0.6,                0.66028,                0.39684,                0.73065,                0.55356,                0.59084,                0.47917,                 1.2191,                 3.0529,                 1.8117,                 1.4861,              0.0013093,              0.0013093,              0.0013093
                      3,                 1.0112,                 2.3924,                 1.3392,                 1.2987,                 0.9701,                    0.6,                0.78716,                0.46561,                 0.9701,                    0.6,                0.78716,                0.46858,                0.99853,                 2.0268,                  1.371,                 1.3713,              0.0019497,              0.0019497,              0.0019497
                      4,                0.99624,                 2.2918,                 1.2789,                 1.2991,                0.95364,                    0.8,                0.88591,                0.41371,                0.95364,                    0.8,                0.88591,                0.43893,                 1.2869,                 2.7621,                 1.4499,                 1.6649,              0.0019406,              0.0019406,              0.0019406
                      5,                0.96522,                 2.2345,                 1.2117,                 1.2651,                0.60887,                      1,                0.85333,                0.59968,                0.60887,                      1,                0.85333,                0.53313,                0.92845,                 2.4571,                 1.0534,                 1.3495,              0.0019406,              0.0019406,              0.0019406
                      6,                0.91319,                 2.1885,                 1.1765,                 1.2335,                0.95974,                      1,                  0.995,                0.62362,                0.95974,                      1,                  0.995,                0.78014,                 1.0159,                 1.6956,                 1.0926,                 1.4909,              0.0019208,              0.0019208,              0.0019208
                      7,                  0.897,                 2.1424,                 1.1797,                 1.2262,                0.70287,                0.95207,                0.81786,                0.69256,                0.70287,                0.95207,                0.81786,                0.71069,                0.83432,                 1.0931,                 1.0901,                 1.2421,               0.001901,               0.001901,               0.001901
                      8,                0.88232,                 2.0812,                 1.1556,                 1.2193,                0.83029,                0.98174,                0.96167,                0.64911,                0.83029,                0.98174,                0.96167,                 0.7968,                0.89773,                 1.3105,                 1.0206,                 1.2919,              0.0018812,              0.0018812,              0.0018812
                      9,                0.88225,                 2.0364,                 1.1267,                 1.2336,                0.97917,                      1,                  0.995,                0.70176,                0.97917,                      1,                  0.995,                0.83696,                0.73032,                 1.2585,                 0.9167,                 1.1753,              0.0018614,              0.0018614,              0.0018614
                     10,                0.82157,                 1.9604,                 1.0779,                 1.1707,                0.83088,                0.98529,                0.92833,                0.73313,                0.83088,                0.98529,                0.92833,                0.65044,                0.87676,                 1.8671,                0.78575,                 1.3139,              0.0018416,              0.0018416,              0.0018416
                     11,                 0.8159,                 1.9619,                 1.0673,                 1.1761,                 0.9798,                      1,                  0.995,                0.81218,                 0.9798,                      1,                  0.995,                0.87919,                0.66104,                 1.0326,                0.66784,                 1.1467,              0.0018218,              0.0018218,              0.0018218
                     12,                0.82455,                 1.9343,                 1.0315,                 1.1807,                0.93542,                    0.8,                0.96167,                0.63557,                0.93542,                    0.8,                0.96167,                 0.7706,                0.77112,                 1.4002,                0.92173,                 1.2252,               0.001802,               0.001802,               0.001802
                     13,                0.79026,                 1.8886,                 1.0161,                 1.1641,                0.98323,                    0.8,                0.93786,                0.75568,                0.98323,                    0.8,                0.93786,                0.83208,                0.70078,                 1.0375,                0.79146,                 1.1736,              0.0017822,              0.0017822,              0.0017822
                     14,                0.79532,                 1.8919,                 1.0113,                  1.158,                0.92899,                      1,                  0.995,                0.75743,                0.92899,                      1,                  0.995,                0.85656,                0.67537,                0.93603,                0.69235,                 1.1324,              0.0017624,              0.0017624,              0.0017624
                     15,                0.78182,                   1.92,                 1.0075,                 1.1562,                0.67359,                      1,                0.89786,                0.75847,                0.67359,                      1,                0.89786,                0.75423,                0.76374,                 1.4135,                0.79068,                 1.1929,              0.0017426,              0.0017426,              0.0017426
                     16,                0.79426,                 1.9312,                 1.0064,                 1.1673,                0.81471,                      1,                0.96167,                0.79271,                0.81471,                      1,                0.96167,                0.79941,                0.90015,                  1.826,                0.77126,                 1.2244,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.7874,                 1.8845,                 1.0007,                 1.1553,                0.65243,                 0.7573,                0.77278,                0.65721,                0.65243,                 0.7573,                0.77278,                0.67119,                 0.7865,                 1.1656,                0.99134,                 1.2659,               0.001703,               0.001703,               0.001703
                     18,                0.76266,                 1.8346,                0.98138,                 1.1388,                0.62302,                      1,                0.88071,                 0.7307,                0.62302,                      1,                0.88071,                0.75672,                0.70818,                 1.0903,                0.86981,                 1.1309,              0.0016832,              0.0016832,              0.0016832
                     19,                0.76025,                 1.8313,                0.96552,                 1.1441,                0.94648,                    0.6,                0.85333,                0.52422,                0.94648,                    0.6,                0.85333,                 0.7319,                 1.1927,                  1.356,                 1.2297,                 1.5896,              0.0016634,              0.0016634,              0.0016634
                     20,                0.77908,                 1.8599,                 0.9632,                 1.1579,                0.99753,                      1,                  0.995,                0.87585,                0.99753,                      1,                  0.995,                0.90586,                0.63782,                 0.8625,                0.69999,                 1.0884,              0.0016436,              0.0016436,              0.0016436
                     21,                0.74233,                 1.7649,                0.94179,                 1.1347,                      1,                0.78846,                0.93786,                0.84196,                      1,                0.78846,                0.93786,                0.86561,                0.51759,                0.78674,                0.72594,                  1.043,              0.0016238,              0.0016238,              0.0016238
                     22,                 0.7308,                 1.8252,                0.93778,                 1.1278,                0.98741,                    0.8,                0.93786,                0.83015,                0.98741,                    0.8,                0.93786,                0.86018,                0.61018,                0.71215,                 0.7462,                 1.0624,               0.001604,               0.001604,               0.001604
                     23,                0.74644,                 1.7815,                0.95928,                 1.1368,                0.89396,                      1,                  0.995,                0.75318,                0.89396,                      1,                  0.995,                 0.9164,                0.89588,                 0.9257,                0.81813,                 1.2905,              0.0015842,              0.0015842,              0.0015842
                     24,                0.71151,                 1.7442,                0.90057,                 1.1129,                      1,                0.95219,                  0.995,                 0.8799,                      1,                0.95219,                  0.995,                0.91632,                0.60977,                0.82562,                0.77584,                 1.0642,              0.0015644,              0.0015644,              0.0015644
                     25,                0.70417,                 1.7896,                0.92395,                 1.1012,                0.97422,                      1,                  0.995,                0.84075,                0.97422,                      1,                  0.995,                0.90987,                0.59741,                 1.0424,                0.59174,                 1.1154,              0.0015446,              0.0015446,              0.0015446
                     26,                0.72602,                 1.7869,                0.91308,                 1.1299,                      1,                0.97613,                  0.995,                0.77185,                      1,                0.97613,                  0.995,                0.86889,                0.72864,                 1.2942,                 1.0665,                   1.16,              0.0015248,              0.0015248,              0.0015248
                     27,                0.71038,                 1.7636,                0.90697,                 1.1096,                0.83284,                      1,                0.92833,                0.77558,                0.83284,                      1,                0.92833,                0.87624,                0.63331,                0.86348,                0.72106,                 1.0342,               0.001505,               0.001505,               0.001505
                     28,                0.69894,                  1.745,                0.90262,                 1.1108,                0.78335,                      1,                0.96167,                0.70744,                0.78335,                      1,                0.96167,                0.92072,                0.82602,                0.74652,                 0.8744,                 1.1573,              0.0014852,              0.0014852,              0.0014852
                     29,                0.68813,                 1.7009,                0.88666,                 1.1017,                0.95495,                      1,                  0.995,                0.79923,                0.95495,                      1,                  0.995,                0.89607,                0.69228,                 1.0829,                0.62828,                 1.0835,              0.0014654,              0.0014654,              0.0014654
                     30,                0.69107,                 1.6921,                0.89142,                 1.1119,                      1,                 0.9241,                  0.995,                0.86399,                      1,                 0.9241,                  0.995,                0.90953,                0.67137,                0.86607,                0.70112,                    1.1,              0.0014456,              0.0014456,              0.0014456
                     31,                0.68154,                 1.6995,                0.88259,                 1.0954,                0.99386,                      1,                  0.995,                 0.8682,                0.99386,                      1,                  0.995,                0.87707,                0.67639,                0.95329,                0.60513,                 1.1079,              0.0014258,              0.0014258,              0.0014258
                     32,                0.67541,                   1.71,                 0.8807,                 1.0945,                0.98074,                      1,                  0.995,                0.79355,                0.98074,                      1,                  0.995,                0.91779,                0.69747,                0.73271,                0.76943,                  1.136,               0.001406,               0.001406,               0.001406
                     33,                 0.6709,                 1.6897,                0.85441,                 1.0897,                0.98076,                      1,                  0.995,                0.87068,                0.98076,                      1,                  0.995,                0.91005,                 0.6212,                0.78663,                0.88104,                 1.0842,              0.0013862,              0.0013862,              0.0013862
                     34,                0.67471,                 1.6955,                0.85942,                 1.0874,                      1,                0.97444,                  0.995,                0.81584,                      1,                0.97444,                  0.995,                0.86823,                0.69688,                 1.0423,                0.64383,                 1.1971,              0.0013664,              0.0013664,              0.0013664
                     35,                0.67705,                 1.7028,                0.87865,                 1.0908,                0.95584,                      1,                  0.995,                0.80445,                0.95584,                      1,                  0.995,                0.93288,                0.54145,                0.78973,                 0.7571,                   1.09,              0.0013466,              0.0013466,              0.0013466
                     36,                0.67532,                 1.6431,                0.85952,                 1.0995,                0.99261,                      1,                  0.995,                0.74551,                0.99261,                      1,                  0.995,                0.86676,                0.72025,                0.70418,                0.84195,                 1.1414,              0.0013268,              0.0013268,              0.0013268
                     37,                0.66094,                 1.6632,                0.85703,                 1.0883,                0.97646,                    0.8,                0.93786,                0.77752,                0.97646,                    0.8,                0.93786,                 0.8832,                0.59449,                0.88599,                0.66371,                 1.0864,               0.001307,               0.001307,               0.001307
                     38,                0.65981,                 1.7159,                0.85142,                 1.0933,                0.98508,                      1,                  0.995,                 0.8406,                0.98508,                      1,                  0.995,                0.86082,                0.61698,                 0.8857,                0.55516,                 1.0462,              0.0012872,              0.0012872,              0.0012872
                     39,                0.65167,                 1.6902,                0.83289,                 1.0827,                0.97825,                      1,                  0.995,                0.80591,                0.97825,                      1,                  0.995,                0.91005,                0.49571,                0.80352,                0.61758,                0.95872,              0.0012674,              0.0012674,              0.0012674
                     40,                0.66689,                 1.6327,                0.84296,                 1.0822,                      1,                0.77878,                0.93786,                0.64432,                      1,                0.94617,                  0.995,                0.87866,                 0.7655,                0.78812,                 1.0373,                 1.2756,              0.0012476,              0.0012476,              0.0012476
                     41,                0.65961,                 1.6412,                0.83239,                 1.0804,                 0.9914,                      1,                  0.995,                0.88917,                 0.9914,                      1,                  0.995,                0.94662,                0.53557,                 0.6674,                0.56195,                 1.0439,              0.0012278,              0.0012278,              0.0012278
                     42,                0.65708,                 1.6332,                0.82406,                 1.0831,                0.82836,                0.97018,                  0.895,                0.76442,                0.82836,                0.97018,                  0.895,                0.78038,                0.54878,                0.96839,                0.63959,                 1.0481,               0.001208,               0.001208,               0.001208
                     43,                0.65253,                 1.6413,                0.82857,                 1.0863,                  0.978,                      1,                  0.995,                0.86083,                  0.978,                      1,                  0.995,                0.90985,                0.49156,                0.92714,                0.63344,                0.98355,              0.0011882,              0.0011882,              0.0011882
                     44,                0.66219,                 1.6692,                0.83415,                 1.0866,                0.81881,                      1,                0.96167,                 0.5557,                0.82689,                      1,                  0.995,                0.91956,                 1.1246,                0.85931,                0.99127,                 1.6066,              0.0011684,              0.0011684,              0.0011684
                     45,                0.61552,                 1.5993,                0.80437,                 1.0562,                0.83154,                      1,                0.92833,                0.71046,                0.95147,                      1,                  0.995,                0.92172,                0.76947,                 0.6844,                 1.0406,                 1.1109,              0.0011486,              0.0011486,              0.0011486
                     46,                0.62705,                 1.6035,                0.81804,                 1.0591,                0.94787,                      1,                  0.995,                0.84684,                0.94787,                      1,                  0.995,                0.91057,                0.61903,                0.73109,                0.63736,                 1.0355,              0.0011288,              0.0011288,              0.0011288
                     47,                0.62072,                 1.5679,                0.80263,                 1.0633,                      1,                0.98043,                  0.995,                 0.7112,                      1,                0.98043,                  0.995,                0.81807,                0.78544,                 1.0072,                0.97157,                 1.1988,               0.001109,               0.001109,               0.001109
                     48,                0.62538,                 1.6225,                0.79343,                 1.0668,                0.71066,                0.98476,                0.85786,                0.63734,                0.71066,                0.98476,                0.85786,                 0.7742,                0.76942,                0.79512,                0.83957,                 1.2419,              0.0010892,              0.0010892,              0.0010892
                     49,                0.62574,                 1.5784,                0.80909,                 1.0631,                0.80388,                      1,                0.86167,                0.61903,                0.80388,                      1,                0.86167,                0.76025,                0.66455,                0.84043,                0.91042,                 1.1167,              0.0010694,              0.0010694,              0.0010694
                     50,                0.61942,                 1.5733,                 0.7985,                 1.0764,                      1,                0.97948,                  0.995,                 0.8955,                      1,                0.97948,                  0.995,                0.93804,                0.59024,                0.85307,                0.56737,                 1.0684,              0.0010496,              0.0010496,              0.0010496
                     51,                0.59956,                 1.5573,                 0.7851,                   1.05,                0.99908,                      1,                  0.995,                0.89471,                0.99908,                      1,                  0.995,                0.94081,                0.53037,                0.75552,                0.64245,                 1.0266,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.6231,                 1.5917,                0.77295,                 1.0656,                0.97745,                      1,                  0.995,                0.77799,                0.97745,                      1,                  0.995,                0.73865,                 0.8324,                 1.1854,                0.70292,                 1.3289,                0.00101,                0.00101,                0.00101
                     53,                0.60506,                 1.5638,                0.77139,                 1.0595,                0.97731,                      1,                  0.995,                0.75046,                0.97731,                      1,                  0.995,                0.84445,                0.73122,                 1.0697,                0.79536,                 1.2216,              0.0009902,              0.0009902,              0.0009902
                     54,                0.60445,                 1.5416,                 0.7566,                 1.0498,                      1,                0.98655,                  0.995,                0.75854,                      1,                0.98655,                  0.995,                0.87199,                0.52195,                 0.7713,                 0.8248,                0.98233,              0.0009704,              0.0009704,              0.0009704
                     55,                0.61114,                 1.5608,                0.77582,                 1.0498,                0.96054,                      1,                  0.995,                0.71562,                0.96054,                      1,                  0.995,                0.91121,                0.80413,                0.67331,                0.74444,                 1.2445,              0.0009506,              0.0009506,              0.0009506
                     56,                0.58435,                 1.5278,                0.74868,                 1.0393,                0.98221,                      1,                  0.995,                0.79707,                0.98221,                      1,                  0.995,                0.94709,                0.45739,                0.69198,                0.71096,                 1.0048,              0.0009308,              0.0009308,              0.0009308
                     57,                0.59989,                  1.547,                0.75653,                 1.0508,                0.81398,                      1,                0.92833,                0.66482,                0.81398,                      1,                0.92833,                0.90275,                0.76849,                0.83827,                0.74344,                 1.3981,               0.000911,               0.000911,               0.000911
                     58,                0.60489,                  1.548,                 0.7545,                 1.0608,                0.99204,                      1,                  0.995,                0.61332,                0.99204,                      1,                  0.995,                0.88119,                0.89063,                0.69776,                0.91083,                 1.4348,              0.0008912,              0.0008912,              0.0008912
                     59,                0.57714,                 1.5022,                0.73813,                 1.0353,                0.96826,                    0.8,                0.96167,                0.70534,                      1,                0.92285,                  0.995,                0.90092,                0.48201,                0.78765,                0.96721,                0.99345,              0.0008714,              0.0008714,              0.0008714
                     60,                0.58146,                 1.5181,                0.73142,                  1.036,                 0.9803,                      1,                  0.995,                 0.7646,                 0.9803,                      1,                  0.995,                0.90213,                0.75234,                0.95936,                0.98057,                 1.2551,              0.0008516,              0.0008516,              0.0008516
                     61,                0.58398,                 1.5169,                0.75535,                 1.0448,                0.78705,                      1,                0.96167,                0.71662,                      1,                0.98106,                  0.995,                0.92858,                0.51233,                0.58462,                0.85082,                  1.006,              0.0008318,              0.0008318,              0.0008318
                     62,                0.58014,                 1.4886,                0.74148,                 1.0376,                 0.7966,                      1,                0.96167,                0.80638,                 0.7966,                      1,                0.96167,                0.87419,                0.54565,                0.82858,                0.69196,                 1.0265,               0.000812,               0.000812,               0.000812
                     63,                0.58746,                 1.5563,                0.74628,                  1.044,                0.98204,                      1,                  0.995,                0.72052,                0.98204,                      1,                  0.995,                0.88675,                0.51542,                0.95334,                 0.7905,                 1.0043,              0.0007922,              0.0007922,              0.0007922
                     64,                0.57173,                   1.51,                0.72266,                   1.03,                0.78168,                      1,                0.96167,                0.73441,                0.78168,                      1,                0.96167,                0.87829,                0.49543,                0.69254,                0.92842,                 0.9953,              0.0007724,              0.0007724,              0.0007724
                     65,                0.57712,                 1.4991,                0.72812,                 1.0394,                0.96832,                      1,                  0.995,                 0.5965,                0.96832,                      1,                  0.995,                0.89897,                 1.0661,                0.69281,                0.86578,                 1.6155,              0.0007526,              0.0007526,              0.0007526
                     66,                0.57056,                  1.534,                0.72197,                  1.039,                      1,                0.99662,                  0.995,                0.84799,                      1,                0.99662,                  0.995,                0.86982,                0.51563,                 0.8542,                0.59381,                 1.0355,              0.0007328,              0.0007328,              0.0007328
                     67,                0.56911,                  1.501,                0.71709,                 1.0358,                0.98432,                      1,                  0.995,                0.65571,                0.98432,                      1,                  0.995,                0.88584,                0.78111,                0.82839,                 0.8989,                 1.4951,               0.000713,               0.000713,               0.000713
                     68,                0.57921,                 1.5027,                 0.7199,                 1.0454,                0.95948,                      1,                  0.995,                0.72265,                0.95948,                      1,                  0.995,                0.87577,                0.60583,                0.96739,                0.86161,                 1.0511,              0.0006932,              0.0006932,              0.0006932
                     69,                0.58553,                 1.5071,                0.70812,                 1.0408,                0.96065,                      1,                  0.995,                 0.8065,                0.96065,                      1,                  0.995,                0.90982,                0.46966,                0.90007,                0.69135,                0.97204,              0.0006734,              0.0006734,              0.0006734
                     70,                0.55424,                 1.4462,                0.68804,                 1.0277,                      1,                0.98137,                  0.995,                0.73452,                      1,                0.98137,                  0.995,                0.91611,                0.86378,                0.68831,                0.62459,                 1.6817,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.5616,                 1.4643,                0.70573,                 1.0297,                 0.9877,                      1,                  0.995,                0.68681,                 0.9877,                      1,                  0.995,                0.89784,                 1.0249,                0.97506,                0.74152,                 2.1023,              0.0006338,              0.0006338,              0.0006338
                     72,                0.55649,                 1.4656,                0.68904,                 1.0299,                0.99656,                      1,                  0.995,                0.72162,                0.99656,                      1,                  0.995,                0.92229,                0.66404,                0.66812,                0.83464,                 1.3109,               0.000614,               0.000614,               0.000614
                     73,                0.56001,                 1.4731,                0.69582,                  1.029,                 0.9863,                      1,                  0.995,                0.76727,                 0.9863,                      1,                  0.995,                0.87345,                0.61276,                0.80196,                0.96664,                 1.1032,              0.0005942,              0.0005942,              0.0005942
                     74,                0.55752,                 1.4348,                0.68681,                 1.0231,                0.99134,                      1,                  0.995,                0.61336,                0.99134,                      1,                  0.995,                0.89906,                0.98075,                0.59449,                0.87304,                 1.6008,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.5477,                 1.4707,                0.67671,                 1.0265,                0.99333,                      1,                  0.995,                0.61081,                0.99333,                      1,                  0.995,                0.84329,                 1.0457,                0.70931,                0.87691,                 2.0795,              0.0005546,              0.0005546,              0.0005546
                     76,                0.53245,                 1.4257,                0.67832,                 1.0158,                0.99119,                      1,                  0.995,                  0.735,                0.99119,                      1,                  0.995,                0.90827,                0.65763,                0.74186,                0.95622,                 1.1965,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.5357,                 1.4582,                0.66283,                 1.0224,                0.98785,                      1,                  0.995,                0.73689,                0.98785,                      1,                  0.995,                0.88711,                0.60045,                0.76279,                0.95725,                 1.0775,               0.000515,               0.000515,               0.000515
                     78,                0.53821,                 1.3991,                0.64495,                 1.0211,                 0.9769,                      1,                  0.995,                 0.6814,                 0.9769,                      1,                  0.995,                0.80581,                0.59589,                 1.0974,                 1.1405,                 1.1203,              0.0004952,              0.0004952,              0.0004952
                     79,                0.54673,                 1.4736,                0.67263,                 1.0214,                0.98132,                      1,                  0.995,                0.64363,                0.98132,                      1,                  0.995,                0.75116,                0.84694,                0.97779,                0.92905,                 1.3936,              0.0004754,              0.0004754,              0.0004754
                     80,                0.54497,                 1.4417,                0.66279,                 1.0254,                0.98418,                      1,                  0.995,                0.73533,                0.98418,                      1,                  0.995,                0.85784,                0.85171,                0.74753,                 0.9091,                 1.4487,              0.0004556,              0.0004556,              0.0004556
                     81,                0.52064,                 1.3868,                0.63001,                 0.9961,                0.98783,                      1,                  0.995,                0.64171,                0.98783,                      1,                  0.995,                0.88593,                 1.0339,                0.92987,                 0.7674,                 1.9549,              0.0004358,              0.0004358,              0.0004358
                     82,                0.52732,                 1.3751,                0.63281,                 1.0093,                0.97924,                      1,                  0.995,                0.63437,                0.97924,                      1,                  0.995,                0.91113,                0.76501,                0.68104,                 0.9345,                 1.5524,               0.000416,               0.000416,               0.000416
                     83,                 0.5208,                 1.4127,                0.64071,                  1.013,                0.98321,                      1,                  0.995,                0.69271,                0.98321,                      1,                  0.995,                0.88445,                 1.0172,                0.78358,                0.73233,                 1.8774,              0.0003962,              0.0003962,              0.0003962
                     84,                0.51193,                 1.4492,                 0.6472,                 1.0028,                0.98556,                      1,                  0.995,                0.57323,                0.98556,                      1,                  0.995,                0.89065,                 1.2545,                0.66544,                0.82703,                  2.017,              0.0003764,              0.0003764,              0.0003764
                     85,                0.51165,                 1.4496,                  0.634,                0.99887,                0.98608,                      1,                  0.995,                0.65901,                0.98608,                      1,                  0.995,                0.83339,                 1.0868,                0.91574,                0.77621,                 2.0289,              0.0003566,              0.0003566,              0.0003566
                     86,                0.51376,                 1.4135,                0.62906,                  1.006,                      1,                0.95964,                  0.995,                0.64809,                      1,                0.95964,                  0.995,                0.89359,                 1.1303,                0.69153,                0.84796,                 2.2574,              0.0003368,              0.0003368,              0.0003368
                     87,                0.52317,                 1.4302,                  0.619,                  1.022,                0.98273,                      1,                  0.995,                0.63045,                0.98273,                      1,                  0.995,                0.91604,                  1.099,                0.68856,                 0.8608,                   2.17,               0.000317,               0.000317,               0.000317
                     88,                 0.5083,                 1.3793,                0.60892,                  1.006,                      1,                0.97507,                  0.995,                0.73744,                      1,                0.97507,                  0.995,                0.87183,                0.67554,                0.66997,                0.92042,                 1.2898,              0.0002972,              0.0002972,              0.0002972
                     89,                0.50993,                 1.4119,                0.61183,                 1.0074,                0.97572,                      1,                  0.995,                0.63738,                0.97572,                      1,                  0.995,                0.87744,                  1.191,                0.73974,                0.81222,                 2.1876,              0.0002774,              0.0002774,              0.0002774
                     90,                0.51443,                 1.4117,                0.61088,                 1.0071,                 0.9839,                      1,                  0.995,                0.64588,                 0.9839,                      1,                  0.995,                0.88332,                 1.0642,                0.75541,                0.73757,                 2.2273,              0.0002576,              0.0002576,              0.0002576
                     91,                0.42581,                 1.2806,                0.66688,                0.97769,                0.98863,                      1,                  0.995,                0.64612,                0.98863,                      1,                  0.995,                0.93729,                 1.0709,                0.61322,                0.78763,                 2.3567,              0.0002378,              0.0002378,              0.0002378
